codigo_pedido;codigo_producto;cantidad;precio_total
ped0001;DULC001;1;2500
ped0002;DULC002;2;6000
ped0002;DULC003;3;10500
ped0003;DULC004;4;16000
ped0003;DULC005;5;22500
ped0003;DULC006;6;30000
ped0004;DULC007;7;38500
ped0004;DULC008;8;48000
ped0004;DULC009;9;58500
ped0004;DULC010;10;70000
ped0005;DULC011;11;82500
ped0006;DULC012;12;96000
ped0006;DULC013;13;110500
ped0007;DULC014;14;126000
ped0007;DULC015;15;142500
ped0007;DULC001;14;35000
ped0008;DULC002;13;39000
ped0008;DULC003;12;42000
ped0008;DULC004;11;44000
ped0008;DULC005;10;45000
ped0009;DULC006;9;45000
ped0010;DULC007;8;44000
ped0010;DULC008;7;42000
ped0011;DULC009;6;39000
ped0011;DULC010;5;35000
ped0011;DULC011;4;30000
ped0012;DULC012;3;24000
ped0012;DULC013;2;17000
ped0012;DULC014;1;9000
ped0012;DULC015;1;9500
ped0013;DULC001;2;5000
ped0014;DULC002;3;9000
ped0014;DULC003;4;14000
ped0015;DULC004;5;20000
ped0015;DULC005;6;27000
ped0015;DULC006;7;35000
ped0015;DULC007;8;44000
ped0016;DULC008;9;54000
ped0017;DULC009;10;65000
ped0017;DULC010;11;77000
ped0018;DULC011;12;90000
ped0018;DULC012;13;104000
ped0018;DULC013;14;119000
ped0019;DULC014;15;135000
ped0019;DULC015;15;142500
ped0019;DULC001;14;35000
ped0019;DULC002;13;39000
ped0020;DULC003;12;42000
ped0021;DULC004;11;44000
ped0021;DULC005;10;45000
ped0022;DULC006;9;45000
ped0022;DULC007;8;44000
ped0022;DULC008;7;42000
ped0023;DULC009;6;39000
ped0023;DULC010;5;35000
ped0023;DULC011;4;30000
ped0023;DULC012;3;24000
ped0024;DULC013;2;17000
ped0025;DULC014;1;9000
ped0025;DULC015;1;9500
ped0026;DULC001;2;5000
ped0026;DULC002;3;9000
ped0026;DULC003;4;14000
ped0027;DULC004;5;20000
ped0027;DULC005;6;27000
ped0027;DULC006;7;35000
ped0028;DULC007;8;44000
ped0029;DULC008;9;54000
ped0029;DULC009;10;65000
ped0030;DULC010;11;77000
ped0030;DULC011;12;90000
ped0030;DULC012;13;104000
ped0031;DULC013;14;119000
ped0031;DULC014;15;135000
ped0031;DULC015;15;142500
ped0031;DULC001;14;35000
ped0032;DULC002;13;39000
ped0032;DULC003;12;42000
ped0033;DULC004;11;44000
ped0033;DULC005;10;45000
ped0034;DULC006;9;45000
ped0034;DULC007;8;44000
ped0035;DULC008;7;42000
ped0036;DULC009;6;39000
ped0037;DULC010;5;35000
ped0038;DULC011;4;30000
ped0039;DULC012;3;24000
ped0040;DULC013;2;17000
ped0041;DULC014;1;9000
ped0042;DULC015;1;9500
ped0043;DULC001;2;5000
ped0044;DULC002;3;9000
ped0045;DULC003;4;14000
ped0046;DULC004;5;20000
ped0047;DULC005;6;27000
ped0048;DULC006;7;35000
ped0049;DULC007;8;44000
ped0050;DULC008;9;54000
ped0051;DULC009;10;65000
ped0052;DULC010;11;77000
ped0053;DULC011;12;90000
ped0054;DULC012;13;104000
ped0055;DULC013;14;119000
ped0056;DULC014;15;135000
ped0057;DULC015;15;142500
ped0058;DULC001;14;35000
ped0059;DULC002;13;39000
ped0060;DULC003;12;42000
ped0061;DULC004;1;4000
ped0061;DULC005;2;9000
